Symptoms,Disease_Code
"Intense burning pain, swelling, changes in skin temperature",D100
"Persistent, painful erection",D363
"Joint swelling, pain, warmth, limited range of motion",D088
"Floaters (spots or cobweb-like shapes in vision), flashes of light, curtain-like shadow over vision, sudden vision loss",D324
"Nausea, vomiting, diarrhea, neurological symptoms",D214
"Fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)",D122
"Chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases",D395
"Shooting or burning pain, tingling or numbness",D021
"Persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin",D188
"Sore throat, fever, rash (red, sandpaper-like), swollen glands",D072
"Tingling, numbness, and pain in the hand and fingers",D107
"Painful ulcers or sores on the genital area, swollen lymph nodes in the groin",D268
"Irregular periods, excessive hair growth, acne, weight gain, ovarian cysts",D342
"Fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss",D103
