Symptoms,Disease_Code
"Rough, scaly patches on the skin, usually in sun-exposed areas",D243
"Severe eye pain, blurred vision, halos around lights",D185
"Painful urination, frequent urination, pelvic pain, cloudy urine",D256
"Chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)",D045
"Irregular or rapid heartbeat, palpitations, shortness of breath, chest pain or discomfort, dizziness or lightheadedness, fatigue",D383
"Heartburn, chest pain, difficulty swallowing",D066
"Fever, chest pain, productive cough with foul-smelling or bloody sputum",D086
"High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies",D241
"Sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg",D187
Swelling of the scrotum,D160
"Red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation",D013
"Pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation",D036
"Sharp, shooting pain along the affected nerve",D029
"Muscle weakness, loss of sensation, chronic pain",D171
"Muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity",D143
"Ear pain, fever, fluid drainage from the ear",D316
